Country_Code,year,PerCapita_HealthExp,HealthExp_to_GDP_percent,PerCapita_Health_USD,Total_HealthSpending_USD
FIN,1979,11.98,0.72,52.02,247.86
FIN,1980,11.22,0.66,55.27,264.18
FIN,1981,10.9,0.66,60.43,290.05
FIN,1982,10.39,0.64,63.25,305.31
FIN,1983,10.64,0.66,70.14,340.58
FIN,1984,10.57,0.66,75.6,369.08
FIN,1985,10.17,0.68,81.96,401.78
FIN,1986,10.08,0.68,87.04,428.08
FIN,1987,10.07,0.69,95.32,470.14
FIN,1988,9.97,0.67,102.52,507.13
FIN,1989,9.81,0.66,111.3,552.53
FIN,1990,9.86,0.72,124.45,620.54
FIN,1991,10.34,0.86,139.66,700.2
FIN,1992,11.17,0.95,148.99,751.21
FIN,1993,12.65,0.99,155.15,786.06
FIN,1994,13.73,1,167.29,851.23
FIN,1995,14.32,1.05,192.79,984.74
FIN,1996,14.88,1.11,210.96,1081.07
FIN,1997,15.24,1.09,224.89,1155.92
FIN,1998,14.65,1,223.2,1150.23
FIN,1999,15.57,1.06,250.55,1294.21
FIN,2000,15.04,1.07,282.2,1460.72
FIN,2001,15.47,1.12,306.6,1590.62
FIN,2002,15.65,1.19,344.58,1792.03
FIN,2003,15.55,1.23,354.07,1845.77
FIN,2004,15.66,1.26,388.05,2028.77
FIN,2005,15.74,1.3,405.02,2124.76
FIN,2006,14.15,1.17,389.56,2051.54
FIN,2007,14.17,1.15,425.84,2252.13
FIN,2008,14.09,1.18,457.12,2428.85
FIN,2009,13.56,1.24,445,2375.8
FIN,2010,13.04,1.19,446.76,2396.15
FIN,2011,12.46,1.15,448.47,2416.49
FIN,2012,12.16,1.17,460.32,2492.16
FIN,2013,12.01,1.18,472.55,2570.2
FIN,2014,11.81,1.16,467.22,2551.72
FIN,2015,12.14,1.17,484.53,2655.01
FIN,2016,12.57,1.18,515.99,2835.54
FIN,2017,12.24,1.12,515.95,2841.97
FIN,2018,12.4,1.12,536.8,2960.74
FIN,2019,12.36,1.13,541.88,2992.05
FIN,2020,12.29,1.18,567.34,3137.1
FIN,2021,11.27,1.16,591.86,3279.53
FRA,1970,24.41,1.27,46.91,2439.55
FRA,1975,20.74,1.28,75.42,4072.63
FRA,1980,16.39,1.11,108.14,5977.35
FRA,1985,16.58,1.27,165.96,9404.23
FRA,1990,17.28,1.38,252.16,14691.21
FRA,1991,17.7,1.46,275.81,16149.55
FRA,1992,17.62,1.49,290.91,17119.24
FRA,1993,18,1.59,315.67,18656.9
FRA,1994,17.9,1.58,325.22,19293.39
FRA,1995,15.39,1.52,323.39,19255
FRA,1996,15.22,1.51,330.29,19736.02
FRA,1997,15.46,1.51,345.82,20737.86
FRA,1998,15.87,1.53,368.53,22181.89
FRA,1999,16.4,1.58,398.62,24117.12
FRA,2000,16.9,1.62,454.16,27666.82
FRA,2001,17.33,1.68,498.36,30581.67
FRA,2002,17.19,1.72,541.76,33487.22
FRA,2003,17.56,1.77,536.66,33406.88
FRA,2004,17.63,1.79,559.04,35056.3
FRA,2005,17.57,1.8,573.54,36236.49
FRA,2006,16.88,1.75,581.56,36999.95
FRA,2007,16.57,1.71,594.43,38053.24
FRA,2008,16.26,1.71,606.49,39042.99
FRA,2009,15.71,1.77,609.67,39449.44
FRA,2010,15.37,1.73,621.64,40423.15
FRA,2011,14.97,1.67,622.84,40696.69
FRA,2012,14.42,1.63,619.83,40696.39
FRA,2013,14.9,1.7,676.5,44647.4
FRA,2014,14.7,1.7,680.26,45109.12
FRA,2015,14.42,1.65,673.38,44812.28
FRA,2016,14.13,1.62,695.4,46400.01
FRA,2017,14.09,1.6,705.24,47193.33
FRA,2018,13.7,1.54,698.52,46911.72
FRA,2019,13.5,1.5,696.84,46954.65
FRA,2020,13.64,1.66,743.84,50284.07
FRA,2021,12.54,1.54,765.58,51938.76
GBR,1970,15.82,0.63,19.61,1091.78
GBR,1971,15.99,0.64,21.46,1199.37
GBR,1972,15.6,0.64,23.05,1292.84
GBR,1973,15.01,0.6,24.36,1368.73
GBR,1974,14.96,0.7,29.43,1654.74
GBR,1975,12.71,0.63,28.64,1610.48
GBR,1976,13.11,0.65,32.06,1802.38
GBR,1977,13.65,0.66,35.61,2001.16
GBR,1978,13.85,0.67,40.44,2272.47
GBR,1979,13.63,0.65,44.47,2501.13
GBR,1980,13.53,0.69,52.1,2933.69
GBR,1981,13.38,0.71,58.08,3271.59
GBR,1982,14.49,0.74,64.98,3659.04
GBR,1983,14.29,0.76,71.72,4040.19
GBR,1984,15.16,0.79,79.04,4459.71
GBR,1985,15.01,0.77,82.49,4664.61
GBR,1986,15.07,0.77,87.2,4942.56
GBR,1987,14.47,0.75,91.87,5218.29
GBR,1988,14.66,0.75,100.89,5743.73
GBR,1989,14.78,0.74,109.31,6238.83
GBR,1990,14.49,0.74,113.36,6489.82
GBR,1991,14.7,0.81,123.89,7114.26
GBR,1992,15.09,0.9,140.46,8087.57
GBR,1993,15.52,0.93,154.53,8919.37
GBR,1994,15.95,0.97,168.84,9770.23
GBR,1995,16.13,0.9,176.42,10235.95
GBR,1996,16.55,0.92,193.85,11275.84
GBR,2013,12.3,1.21,449.82,28846.05
GBR,2014,12.18,1.2,456.26,29475.25
GBR,2015,12.08,1.18,458.25,29839.25
GBR,2016,11.96,1.16,471.39,30928.85
GBR,2017,11.75,1.13,474.68,31357.08
GBR,2018,11.25,1.1,471.31,31323.49
GBR,2019,10.98,1.09,481.75,32198.4
GBR,2020,10.58,1.29,528.75,35469.34
GBR,2021,9.46,1.17,517.29,34671.9
GRC,1988,15.39,0.84,95.01,953.63
GRC,1989,14.15,0.85,104.16,1050.87
GRC,1990,14.94,0.91,115.6,1178.76
GRC,1991,17.08,1.01,135.99,1403.4
GRC,1992,17.8,1.15,158.03,1643.35
GRC,1993,17.28,1.26,173.09,1810.6
GRC,1994,16.73,1.34,190.82,2006.05
GRC,1995,16.31,1.3,194.26,2051.84
GRC,1996,16.69,1.32,206,2185.44
GRC,1997,16.87,1.3,217.48,2318.59
GRC,1998,14.48,1.1,192.31,2061.69
GRC,1999,15.08,1.17,209.65,2256.21
GRC,2000,19.87,1.44,281.85,3045.66
GRC,2001,19.08,1.52,324.46,3524.32
GRC,2002,19.95,1.64,389.24,4243.5
GRC,2003,24.57,2.08,503.4,5501.18
GRC,2004,24.72,2,519.22,5688.17
